rank,bigram,count,share_of_all_bigrams,movement_class,row_change,from_hand,from_finger,from_row,to_hand,to_finger,to_row
128,ke,6027536039,0.0021376796971470896,alternate_hands,True,R,middle,home,L,middle,top
129,fr,6011200185,0.0021318861484722396,same_finger_different_key,True,L,index,home,L,index,top
130,oo,5928601045,0.0021025921710596876,same_key,False,R,ring,top,R,ring,top
131,av,5778409728,0.002049326470620682,same_hand_different_fingers,True,L,pinky,home,L,index,bottom
132,ag,5772552144,0.0020472490648100632,same_hand_different_fingers,False,L,pinky,home,L,index,home
133,if,5731148470,0.002032565155377681,alternate_hands,True,R,middle,top,L,index,home
134,ap,5719570727,0.002028459081852819,alternate_hands,True,L,pinky,home,R,pinky,top
135,gr,5548472398,0.0019677786609059254,same_finger_different_key,True,L,index,home,L,index,top
136,od,5511014957,0.0019544942921995924,alternate_hands,True,R,ring,top,L,middle,home
137,bo,5509918152,0.001954105307751377,alternate_hands,True,L,index,bottom,R,ring,top
138,sp,5392724233,0.0019125422113792543,alternate_hands,True,L,ring,home,R,pinky,top
139,rd,5338083783,0.001893163848503906,same_hand_different_fingers,True,L,index,top,L,middle,home
140,do,5307591560,0.0018823497105864835,alternate_hands,True,L,middle,home,R,ring,top
141,uc,5291161134,0.0018765226217315315,alternate_hands,True,R,index,top,L,middle,bottom
142,bu,5214802738,0.001849441938716155,alternate_hands,True,L,index,bottom,R,index,top
143,ei,5169898489,0.0018335165422055663,alternate_hands,False,L,middle,top,R,middle,top
144,ov,5021440160,0.0017808654499976906,alternate_hands,True,R,ring,top,L,index,bottom
145,by,4975814759,0.001764684295250406,alternate_hands,True,L,index,bottom,R,index,top
146,rm,4938158020,0.001751329245044116,alternate_hands,True,L,index,top,R,index,bottom
147,ep,4837800987,0.001715737389512778,alternate_hands,False,L,middle,top,R,pinky,top
148,tt,4812693687,0.0017068330270812787,same_key,False,L,index,top,L,index,top
149,oc,4692062395,0.0016640508583674763,alternate_hands,True,R,ring,top,L,middle,bottom
150,fa,4624241031,0.0016399978536375908,same_hand_different_fingers,False,L,index,home,L,pinky,home
151,ef,4588497002,0.0016273211504883858,same_hand_different_fingers,True,L,middle,top,L,index,home
152,cu,4585165906,0.0016261397695323246,alternate_hands,True,L,middle,bottom,R,index,top
153,rn,4521640992,0.0016036105108033557,alternate_hands,True,L,index,top,R,index,bottom
154,sc,4363410770,0.0015474937939797774,same_hand_different_fingers,True,L,ring,home,L,middle,bottom
155,gi,4275639800,0.001516365615010144,alternate_hands,True,L,index,home,R,middle,top
156,da,4259590348,0.0015106736394717565,same_hand_different_fingers,False,L,middle,home,L,pinky,home
157,yo,4226720021,0.0014990161014310313,same_hand_different_fingers,False,R,index,top,R,ring,top
158,cr,4214150542,0.0014945583064235584,same_hand_different_fingers,True,L,middle,bottom,L,index,top
159,cl,4201617719,0.0014901135115518744,alternate_hands,True,L,middle,bottom,R,ring,home
160,du,4186093215,0.0014846077100445331,alternate_hands,True,L,middle,home,R,index,top
161,ga,4175274057,0.0014807706704570165,same_hand_different_fingers,False,L,index,home,L,pinky,home
162,qu,4160167957,0.0014754132569029317,alternate_hands,False,L,pinky,top,R,index,top
163,ue,4158448570,0.001474803472298135,alternate_hands,False,R,index,top,L,middle,top
164,ff,4125634219,0.0014631657862762036,same_key,False,L,index,home,L,index,home
165,ba,4122472992,0.0014620446497566957,same_hand_different_fingers,True,L,index,bottom,L,pinky,home
166,ey,4053144855,0.0014374572644723898,alternate_hands,False,L,middle,top,R,index,top
167,ls,3990203351,0.0014151349134589523,alternate_hands,False,R,ring,home,L,ring,home
168,va,3946966167,0.0013998007454339783,same_hand_different_fingers,True,L,index,bottom,L,pinky,home
169,um,3901923211,0.001383826156162727,same_finger_different_key,True,R,index,top,R,index,bottom
170,pp,3850125519,0.0013654559840341753,same_key,False,R,pinky,top,R,pinky,top
171,ua,3844138094,0.001363332529810447,alternate_hands,True,R,index,top,L,pinky,home
172,up,3835093459,0.001360124828938564,same_hand_different_fingers,False,R,index,top,R,pinky,top
173,lu,3811884104,0.001351893577122505,same_hand_different_fingers,True,R,ring,home,R,index,top
174,go,3725558729,0.0013212780817870803,alternate_hands,True,L,index,home,R,ring,top
175,ht,3670802795,0.0013018587622421166,alternate_hands,True,R,index,home,L,index,top
176,ru,3618438291,0.001283287568917398,alternate_hands,False,L,index,top,R,index,top
177,ug,3606562400,0.001279075756509812,alternate_hands,True,R,index,top,L,index,home
178,ds,3560125353,0.0012626067496179288,same_hand_different_fingers,False,L,middle,home,L,ring,home
179,lt,3486149365,0.001236370993149481,alternate_hands,True,R,ring,home,L,index,top
180,pi,3470838749,0.001230941047519584,same_hand_different_fingers,False,R,pinky,top,R,middle,top
181,rc,3422694015,0.0012138664054551589,same_hand_different_fingers,True,L,index,top,L,middle,bottom
182,rr,3404547067,0.0012074305480743342,same_key,False,L,index,top,L,index,top
183,eg,3370515965,0.0011953613384758778,same_hand_different_fingers,True,L,middle,top,L,index,home
184,au,3356322923,0.0011903277430684266,alternate_hands,True,L,pinky,home,R,index,top
185,ck,3316660134,0.0011762612425566196,alternate_hands,True,L,middle,bottom,R,middle,home
186,ew,3293529190,0.0011680577993843661,same_hand_different_fingers,False,L,middle,top,L,ring,top
187,mu,3231856188,0.001146185325560156,same_finger_different_key,True,R,index,bottom,R,index,top
188,br,3145611704,0.0011155985184063137,same_finger_different_key,True,L,index,bottom,L,index,top
189,bi,3005679357,0.0010659711855756885,alternate_hands,True,L,index,bottom,R,middle,top
190,pt,2982699529,0.0010578213360448539,alternate_hands,False,R,pinky,top,L,index,top
191,ak,2952167845,0.0010469932031918583,alternate_hands,False,L,pinky,home,R,middle,home
192,pu,2947681332,0.001045402050905247,same_hand_different_fingers,False,R,pinky,top,R,index,top
193,ui,2852182384,0.0010115331265358833,same_hand_different_fingers,False,R,index,top,R,middle,top
194,rg,2813274913,0.0009977345013122607,same_finger_different_key,True,L,index,top,L,index,home
195,ib,2780268452,0.0009860286830313163,alternate_hands,True,R,middle,top,L,index,bottom
196,tl,2775935006,0.0009844918163128189,alternate_hands,True,L,index,top,R,ring,home
197,ny,2760941827,0.0009791744504544292,same_finger_different_key,True,R,index,bottom,R,index,top
198,ki,2759841743,0.0009787843031012254,same_finger_different_key,True,R,middle,home,R,middle,top
199,rk,2736041446,0.0009703434723282896,alternate_hands,True,L,index,top,R,middle,home
200,ys,2730343336,0.0009683226243432593,alternate_hands,True,R,index,top,L,ring,home
201,ob,2725791138,0.0009667081767183874,alternate_hands,True,R,ring,top,L,index,bottom
202,mm,2708822249,0.0009606901207061564,same_key,False,R,index,bottom,R,index,bottom
203,fu,2706168901,0.0009597491046570832,alternate_hands,True,L,index,home,R,index,top
204,ph,2661480326,0.0009439001974329991,same_hand_different_fingers,True,R,pinky,top,R,index,home
205,og,2651165734,0.0009402421033527496,alternate_hands,True,R,ring,top,L,index,home
206,ms,2617582287,0.0009283316556428383,alternate_hands,True,R,index,bottom,L,ring,home
207,ye,2612941418,0.0009266857606412607,alternate_hands,False,R,index,top,L,middle,top
208,ud,2577213760,0.0009140148635053416,alternate_hands,True,R,index,top,L,middle,home
209,mb,2544901434,0.0009025552218191082,alternate_hands,False,R,index,bottom,L,index,bottom
210,ip,2515455253,0.0008921120651337005,same_hand_different_fingers,False,R,middle,top,R,pinky,top
211,ub,2497666762,0.0008858033353629379,alternate_hands,True,R,index,top,L,index,bottom
212,oi,2474275212,0.0008775074676657127,same_hand_different_fingers,False,R,ring,top,R,middle,top
213,rl,2432373251,0.0008626468395880397,alternate_hands,True,L,index,top,R,ring,home
