same_finger_rank,overall_bigram_rank,bigram,count,share_of_same_finger_mass,share_of_all_bigram_mass,finger
56,493,yh,14682887,7.503255371226837e-05,5.2073200777763014e-06,R-index
57,494,uj,14548024,7.434337621663706e-05,5.159490600668077e-06,R-index
58,495,fg,14424524,7.371226597357211e-05,5.115691037979528e-06,L-index
59,497,gb,13944852,7.126104400991665e-05,4.945574245801865e-06,L-index
60,518,fb,7730842,3.950618278313116e-05,2.741761124002132e-06,L-index
61,523,bg,7203255,3.681010537577969e-05,2.5546511654583004e-06,L-index
62,536,xw,6292525,3.2156088925038484e-05,2.2316586494474362e-06,L-ring
63,541,vt,6181932,3.159093609012932e-05,2.192436584375253e-06,L-index
64,556,qa,4298294,2.19651608996324e-05,1.5243999798122404e-06,L-pinky
65,558,jn,4150888,2.121188611024591e-05,1.472122098535575e-06,R-index
66,559,bf,4108696,2.0996276366315578e-05,1.4571586074509174e-06,L-index
67,562,jm,3659540,1.870099740004773e-05,1.2978643857591143e-06,R-index
68,564,jh,3541869,1.809967453841457e-05,1.2561320914989996e-06,R-index
69,577,vg,2960268,1.5127574550748044e-05,1.049865942031611e-06,L-index
70,578,mj,2923325,1.4938788269699069e-05,1.0367640210242988e-06,R-index
71,587,vb,2496014,1.2755141718489956e-05,8.852171794695919e-07,L-index
72,596,xs,1804740,9.22259028395977e-06,6.400552450731251e-07,L-ring
73,602,vf,1550317,7.922436750588816e-06,5.498235354544322e-07,L-index
74,609,hj,1282370,6.553172812948952e-06,4.547955077320962e-07,R-index
75,610,gv,1192366,6.093233976375531e-06,4.228753794712046e-07,L-index
76,613,jy,1120221,5.724558280133259e-06,3.9728898716217363e-07,R-index
77,624,zq,913036,4.665800582081349e-06,3.2381034428260345e-07,L-pinky
78,629,fv,807297,4.125452679316617e-06,2.863097616176284e-07,L-index
79,637,yj,561334,2.8685314751467104e-06,1.9907841070618347e-07,R-index
80,643,sx,503772,2.5743778896300752e-06,1.7866391331769582e-07,L-ring
81,666,wx,150637,7.697858597941244e-07,5.342376295315687e-08,L-ring
