rank,ngram,count,share,cumulative_share
228,sure,863332880,0.0005725500098841712,0.2446290350806415
229,esse,862637027,0.0005720885301337093,0.2452011236107752
230,athe,858400596,0.0005692789897268576,0.24577040260050206
231,pect,858335845,0.0005692360477903823,0.24633963864829245
232,mati,853089460,0.0005657567203453229,0.24690539536863776
233,ctor,852815120,0.0005655747819837125,0.24747097015062147
234,iver,852803292,0.0005655669378233964,0.24803653708844486
235,nces,847942639,0.0005623434223200907,0.24859888051076495
236,grea,845896706,0.0005609865888361483,0.2491598670996011
237,take,845840876,0.0005609495631791945,0.2497208166627803
238,diti,845631859,0.0005608109460962729,0.25028162760887657
239,ters,845097164,0.0005604563440248969,0.2508420839529015
240,ines,842609054,0.000558806265083049,0.2514008902179845
241,poli,840271365,0.0005572559431955563,0.25195814616118006
242,alle,838699038,0.0005562131984325037,0.2525143593596126
243,unit,837259984,0.0005552588384156305,0.2530696181980282
244,cour,837250547,0.0005552525799322941,0.2536248707779605
245,well,836261847,0.0005545968882426964,0.2541794676662032
246,stri,833430734,0.0005527193346203518,0.25473218700082356
247,elat,832145646,0.0005518670826510975,0.25528405408347465
248,peci,827282240,0.000548641741397593,0.2558326958248722
249,your,826975488,0.0005484383078614674,0.2563811341327337
250,fact,825709953,0.000547599023161968,0.25692873315589565
251,tent,825700005,0.0005475924257907451,0.2574763255816864
252,arge,824897796,0.0005470604122632639,0.2580233859939497
253,nted,824105491,0.0005465349669268356,0.2585699209608765
254,sign,822739381,0.0005456289823267786,0.2591155499432033
255,tant,819433744,0.0005434367311790828,0.25965898667438236
256,renc,819315546,0.0005433583439571479,0.26020234501833955
257,ders,817309330,0.0005420278502191707,0.2607443728685587
258,tory,815900488,0.0005410935263682996,0.261285466394927
259,ntin,815677331,0.0005409455318397515,0.26182641192676676
260,ular,812037152,0.0005385314172256641,0.2623649433439924
261,many,811720338,0.000538321310715147,0.2629032646547076
262,ears,809768639,0.0005370269718713155,0.2634402916265789
263,lace,809197568,0.0005366482457573575,0.2639769398723362
264,olog,808725104,0.0005363349143945234,0.26451327478673076
265,duct,808535503,0.0005362091737249174,0.2650494839604557
266,beca,805500397,0.000534196334864547,0.2655836802953202
267,ains,804352907,0.0005334353359195723,0.2661171156312398
268,oper,801675244,0.0005316595481410315,0.26664877517938085
269,appe,798762910,0.0005297281299139323,0.26717850330929477
270,itie,798112421,0.000529296734919015,0.2677078000442138
271,line,796118091,0.0005279741238061238,0.2682357741680199
272,ease,794893496,0.0005271619899286858,0.2687629361579486
273,dist,790634245,0.000524337315624437,0.269287273473573
274,siti,790455051,0.0005242184767282847,0.2698114919503013
275,ulat,789754686,0.0005237540046839991,0.2703352459549853
276,trat,783896191,0.0005198687346475373,0.27085511468963286
277,stin,783639923,0.000519698781377678,0.2713748134710105
278,lish,782431183,0.0005188971623093212,0.27189371063331985
279,stic,781692639,0.0005184073704986585,0.2724121180038185
280,disc,780802235,0.0005178168673094357,0.27292993487112793
281,term,777856917,0.0005158635745656077,0.27344579844569356
282,plac,777709781,0.0005157659960762372,0.2739615644417698
283,posi,777009203,0.0005153013827734001,0.27447686582454317
284,icul,776031371,0.0005146528985858582,0.27499151872312905
285,ndin,774103927,0.000513374645310886,0.2755048933684399
286,prod,771595395,0.0005117110227909204,0.2760166043912308
287,give,770567099,0.0005110290716008257,0.27652763346283166
288,atin,769053173,0.0005100250575451304,0.2770376585203768
289,ican,768894248,0.0005099196607596856,0.2775475781811365
290,oint,767669301,0.0005091072934408855,0.27805668547457735
291,said,767405715,0.0005089324869781624,0.27856561796155555
292,vent,767349764,0.0005088953810757403,0.2790745133426313
293,used,766235560,0.000508156456929572,0.27958266979956087
294,rect,764010510,0.0005066808356147754,0.28008935063517565
295,iste,761899322,0.0005052807259487711,0.2805946313611244
296,ttle,761344923,0.0005049130564666013,0.281099544417591
297,osit,759606488,0.0005037601512553079,0.2816033045688463
298,resp,759544789,0.0005037192333615519,0.28210702380220787
299,ubli,757904154,0.0005026311877105323,0.2826096549899184
300,ible,754781671,0.0005005604016743127,0.2831102153915927
301,ward,752768256,0.0004992251336625686,0.2836094405252553
302,hrou,752568391,0.0004990925860550624,0.28410853311131035
303,made,750074834,0.0004974388947407726,0.2846059720060511
304,arch,748976901,0.0004967107612889317,0.28510268276734
305,ween,748583074,0.0004964495808590346,0.28559913234819906
306,twee,748387436,0.000496319836537431,0.2860954521847365
307,betw,746549914,0.0004951012182458835,0.2865905534029824
308,etwe,744913566,0.0004940160156719077,0.2870845694186543
309,stud,743961516,0.0004933846297377704,0.28757795404839204
310,wing,743216136,0.0004928903043897453,0.2880708443527818
311,cept,742875473,0.0004926643815637582,0.28856350873434555
312,ucti,742489329,0.0004924082963895011,0.2890559170307351
313,proc,741835248,0.000491974519231593,0.2895478915499667
314,righ,740322548,0.000490971318241551,0.29003886286820824
315,grou,739898845,0.0004906903244760432,0.29052955319268425
316,vide,738956623,0.0004900654563308463,0.2910196186490151
317,iffe,738460905,0.0004897367032480264,0.29150935535226313
318,tere,737610819,0.0004891729383793671,0.2919985282906425
319,agai,737586608,0.0004891568819906781,0.2924876851726332
320,high,735865456,0.0004880154386176281,0.2929757006112508
321,onst,732505495,0.0004857871605706245,0.2934614877718214
322,tanc,731572163,0.00048516818814619276,0.2939466559599676
323,lled,731496700,0.000485118142164629,0.2944317741021322
324,publ,730060984,0.00048416599586158205,0.2949159400979938
325,just,728904166,0.00048339881072051086,0.29539933890871434
326,rson,728502238,0.0004831322578233564,0.2958824711665377
327,ompa,724772644,0.000480658844460988,0.2963631300109987
328,plan,723750138,0.00047998073311602613,0.29684311074411474
329,rtic,721680428,0.00047860813106598337,0.2973217188751807
330,ocia,720229665,0.00047764600580789103,0.29779936488098857
331,ffec,719776713,0.0004773456145241986,0.2982767104955128
332,truc,717847087,0.0004760659141780555,0.29875277640969083
333,eing,717772440,0.000476016409356013,0.29922879281904685
334,ying,717421933,0.0004757839581301145,0.299704576777177
335,rans,717296607,0.00047570084372059644,0.30018027762089755
336,hang,714490851,0.0004738401064977392,0.3006541177273953
337,erso,711956528,0.0004721593797556977,0.301126277107151
338,bili,711212303,0.00047166582038714214,0.30159794292753817
339,liti,709616648,0.00047060760482836285,0.30206855053236653
340,main,709423275,0.00047047936262234225,0.3025390298949888
341,acco,706600330,0.00046860722590069616,0.3030076371208895
342,ople,704732655,0.00046736861057110226,0.30347500573146063
343,riti,701868063,0.00046546885415511347,0.30394047458561574
344,cula,701704827,0.00046536059837616817,0.30440583518399195
345,thos,701579252,0.0004652773188334138,0.30487111250282534
346,nmen,701374455,0.000465141500394095,0.30533625400321945
347,eopl,696654581,0.00046201134750874207,0.3057982653507282
348,ntra,696439985,0.0004618690305128678,0.30626013438124106
349,cult,695767754,0.0004614232165347248,0.30672155759777575
350,inat,693330672,0.00045980697863215757,0.30718136457640793
351,cien,692810339,0.00045946190123363073,0.30764082647764157
352,pose,691237755,0.0004584189860318563,0.3080992454636734
353,peop,691156395,0.00045836502924429115,0.3085576104929177
354,supp,690125570,0.00045768140085759184,0.3090152918937753
