ngram,rank_books,share_books,rank_web,share_web,rank_subtlex,share_subtlex,rank_spread,stability_class,missing_from,gesture_tags
ydc,,0.00000000,8431,0.00000151,,0.00000000,,below-cut,"books,web,subtlex","contains_same_finger,double_row_change"
uht,8432,0.00000005,11801,0.00000037,,0.00000000,,below-cut,"books,web,subtlex","contains_same_finger,double_row_change"
jsc,8434,0.00000005,8613,0.00000139,,0.00000000,,below-cut,"books,web,subtlex",
ybc,8436,0.00000005,9720,0.00000086,,0.00000000,,below-cut,"books,web,subtlex",
dxm,,0.00000000,8436,0.00000151,,0.00000000,,below-cut,"books,web,subtlex",
oiq,8437,0.00000005,14515,0.00000011,,0.00000000,,below-cut,"books,web,subtlex",
qca,8438,0.00000005,9253,0.00000105,,0.00000000,,below-cut,"books,web,subtlex",double_row_change
zut,8441,0.00000005,10685,0.00000058,,0.00000000,,below-cut,"books,web,subtlex",
fyu,,0.00000000,8441,0.00000151,,0.00000000,,below-cut,"books,web,subtlex",contains_same_finger
glm,8442,0.00000005,12300,0.00000030,,0.00000000,,below-cut,"books,web,subtlex",
svh,,0.00000000,8442,0.00000151,,0.00000000,,below-cut,"books,web,subtlex",double_row_change
dxx,,0.00000000,8444,0.00000151,,0.00000000,,below-cut,"books,web,subtlex",
gaj,8445,0.00000005,8796,0.00000127,,0.00000000,,below-cut,"books,web,subtlex",
pyu,8446,0.00000005,10526,0.00000062,,0.00000000,,below-cut,"books,web,subtlex",contains_same_finger
vdu,8448,0.00000005,9918,0.00000079,,0.00000000,,below-cut,"books,web,subtlex",double_row_change
svg,8641,0.00000005,8448,0.00000150,,0.00000000,,below-cut,"books,web,subtlex","contains_same_finger,double_row_change"
nmb,,0.00000000,8449,0.00000150,,0.00000000,,below-cut,"books,web,subtlex",contains_same_finger
kdp,8450,0.00000005,12951,0.00000022,,0.00000000,,below-cut,"books,web,subtlex",
jne,,0.00000000,8450,0.00000150,,0.00000000,,below-cut,"books,web,subtlex","contains_same_finger,double_row_change"
bgb,8451,0.00000005,9212,0.00000107,,0.00000000,,below-cut,"books,web,subtlex","contains_same_finger,same_finger_chain,double_row_change"
drn,,0.00000000,8451,0.00000150,,0.00000000,,below-cut,"books,web,subtlex",double_row_change
cvm,8452,0.00000005,11751,0.00000038,,0.00000000,,below-cut,"books,web,subtlex",
tyq,,0.00000000,8452,0.00000150,,0.00000000,,below-cut,"books,web,subtlex",
szc,8453,0.00000005,11105,0.00000049,,0.00000000,,below-cut,"books,web,subtlex",redirect
rsx,,0.00000000,8453,0.00000150,,0.00000000,,below-cut,"books,web,subtlex","contains_same_finger,double_row_change"
zcz,8454,0.00000005,11445,0.00000043,,0.00000000,,below-cut,"books,web,subtlex",
byq,,0.00000000,8454,0.00000150,,0.00000000,,below-cut,"books,web,subtlex",
fds,8455,0.00000005,9463,0.00000096,,0.00000000,,below-cut,"books,web,subtlex",
vti,8457,0.00000005,9483,0.00000096,,0.00000000,,below-cut,"books,web,subtlex",contains_same_finger
mlw,,0.00000000,8458,0.00000150,,0.00000000,,below-cut,"books,web,subtlex",double_row_change
bdn,8460,0.00000005,12538,0.00000027,,0.00000000,,below-cut,"books,web,subtlex",double_row_change
bcw,,0.00000000,8460,0.00000150,,0.00000000,,below-cut,"books,web,subtlex",
dnf,8461,0.00000005,9804,0.00000083,,0.00000000,,below-cut,"books,web,subtlex",double_row_change
iiw,,0.00000000,8462,0.00000149,,0.00000000,,below-cut,"books,web,subtlex",
evg,8464,0.00000005,8804,0.00000127,,0.00000000,,below-cut,"books,web,subtlex","contains_same_finger,double_row_change"
vge,8465,0.00000005,9017,0.00000115,,0.00000000,,below-cut,"books,web,subtlex","contains_same_finger,double_row_change"
gzo,,0.00000000,8465,0.00000149,,0.00000000,,below-cut,"books,web,subtlex",double_row_change
krz,8466,0.00000005,12294,0.00000030,,0.00000000,,below-cut,"books,web,subtlex",double_row_change
txu,,0.00000000,8466,0.00000149,,0.00000000,,below-cut,"books,web,subtlex",double_row_change
ysz,8467,0.00000005,10822,0.00000055,,0.00000000,,below-cut,"books,web,subtlex",double_row_change
zys,8469,0.00000005,8585,0.00000141,,0.00000000,,below-cut,"books,web,subtlex",double_row_change
ajz,8470,0.00000005,15277,0.00000007,,0.00000000,,below-cut,"books,web,subtlex",
jze,8471,0.00000005,13527,0.00000017,,0.00000000,,below-cut,"books,web,subtlex",double_row_change
dtn,,0.00000000,8472,0.00000149,,0.00000000,,below-cut,"books,web,subtlex",double_row_change
pnm,8473,0.00000005,10409,0.00000065,,0.00000000,,below-cut,"books,web,subtlex",contains_same_finger
hmr,,0.00000000,8473,0.00000149,,0.00000000,,below-cut,"books,web,subtlex","contains_same_finger,double_row_change"
ejp,,0.00000000,8474,0.00000148,,0.00000000,,below-cut,"books,web,subtlex",double_row_change
tbf,8475,0.00000005,11540,0.00000041,,0.00000000,,below-cut,"books,web,subtlex","contains_same_finger,same_finger_chain,double_row_change"
xpm,,0.00000000,8476,0.00000148,,0.00000000,,below-cut,"books,web,subtlex",double_row_change
nxs,,0.00000000,8477,0.00000148,,0.00000000,,below-cut,"books,web,subtlex",contains_same_finger
fcy,,0.00000000,8479,0.00000148,,0.00000000,,below-cut,"books,web,subtlex",double_row_change
uvs,8481,0.00000005,8659,0.00000136,,0.00000000,,below-cut,"books,web,subtlex",double_row_change
pij,8482,0.00000005,11410,0.00000043,,0.00000000,,below-cut,"books,web,subtlex",
dww,,0.00000000,8482,0.00000148,,0.00000000,,below-cut,"books,web,subtlex",
ffk,8483,0.00000005,9949,0.00000078,,0.00000000,,below-cut,"books,web,subtlex",
zla,,0.00000000,8483,0.00000148,,0.00000000,,below-cut,"books,web,subtlex",
dny,8484,0.00000005,8591,0.00000141,,0.00000000,,below-cut,"books,web,subtlex","contains_same_finger,double_row_change"
ikm,8606,0.00000005,8484,0.00000148,,0.00000000,,below-cut,"books,web,subtlex","contains_same_finger,double_row_change"
iux,8485,0.00000005,14473,0.00000011,,0.00000000,,below-cut,"books,web,subtlex",
fnr,8486,0.00000005,12779,0.00000024,,0.00000000,,below-cut,"books,web,subtlex",double_row_change
prr,8491,0.00000005,9636,0.00000089,,0.00000000,,below-cut,"books,web,subtlex",
rbh,8492,0.00000005,9806,0.00000083,,0.00000000,,below-cut,"books,web,subtlex","contains_same_finger,double_row_change"
xyu,8493,0.00000005,12227,0.00000031,,0.00000000,,below-cut,"books,web,subtlex",contains_same_finger
ixx,,0.00000000,8493,0.00000148,,0.00000000,,below-cut,"books,web,subtlex",
mwd,8494,0.00000005,12457,0.00000028,,0.00000000,,below-cut,"books,web,subtlex",double_row_change
hcd,,0.00000000,8495,0.00000148,,0.00000000,,below-cut,"books,web,subtlex","contains_same_finger,double_row_change"
plf,8497,0.00000005,11758,0.00000037,,0.00000000,,below-cut,"books,web,subtlex",
tgm,,0.00000000,8497,0.00000147,,0.00000000,,below-cut,"books,web,subtlex","contains_same_finger,double_row_change"
skg,,0.00000000,8498,0.00000147,,0.00000000,,below-cut,"books,web,subtlex",
afz,8500,0.00000005,12941,0.00000022,,0.00000000,,below-cut,"books,web,subtlex",
fza,8501,0.00000005,11084,0.00000049,,0.00000000,,below-cut,"books,web,subtlex","contains_same_finger,double_row_change"
mmx,,0.00000000,8501,0.00000147,,0.00000000,,below-cut,"books,web,subtlex",
oih,,0.00000000,8502,0.00000147,,0.00000000,,below-cut,"books,web,subtlex",
xmp,,0.00000000,8504,0.00000147,,0.00000000,,below-cut,"books,web,subtlex",
rbb,,0.00000000,8506,0.00000147,,0.00000000,,below-cut,"books,web,subtlex",contains_same_finger
jao,8507,0.00000005,12588,0.00000026,,0.00000000,,below-cut,"books,web,subtlex",
qds,8508,0.00000005,14848,0.00000009,,0.00000000,,below-cut,"books,web,subtlex",redirect
xvt,8509,0.00000005,12757,0.00000024,,0.00000000,,below-cut,"books,web,subtlex",contains_same_finger
lrd,,0.00000000,8510,0.00000147,,0.00000000,,below-cut,"books,web,subtlex",double_row_change
pnt,,0.00000000,8513,0.00000146,,0.00000000,,below-cut,"books,web,subtlex",double_row_change
fkl,8514,0.00000005,12516,0.00000027,,0.00000000,,below-cut,"books,web,subtlex",
sng,,0.00000000,8514,0.00000146,,0.00000000,,below-cut,"books,web,subtlex",double_row_change
ufk,8515,0.00000005,12758,0.00000024,,0.00000000,,below-cut,"books,web,subtlex",
yig,,0.00000000,8515,0.00000146,,0.00000000,,below-cut,"books,web,subtlex",
fcn,,0.00000000,8516,0.00000146,,0.00000000,,below-cut,"books,web,subtlex",
ezf,8517,0.00000005,10329,0.00000067,,0.00000000,,below-cut,"books,web,subtlex","redirect,double_row_change"
zfi,,0.00000000,8517,0.00000146,,0.00000000,,below-cut,"books,web,subtlex",double_row_change
