rank,bigram,count,share,movement_class,from_hand,from_finger,from_home_key,from_home_reach,to_hand,to_finger,to_home_key,to_home_reach,combined_home_reach,max_home_reach,same_finger_travel,row_change,row_span,roll_direction,outer_finger_involved,pinky_involved,top_words
244,ps,1538723474,0.0005457118644518548,alternate_hands,R,pinky,;,1.0308,L,ring,s,0.0,1.0308,1.0308,,True,1.0,cross_hand,True,True,"perhaps, groups, steps, relationships, troops, psychology, psychological, ships, lips, corps, crops, helps"
245,jo,1516687319,0.0005378966907487205,same_hand_different_fingers,R,index,j,0.0,R,ring,l,1.0308,1.0308,1.0308,,True,1.0,outward,True,False,"john, major, journal, job, majority, joint, joseph, johnson, joined, journey, join, jobs"
246,lf,1507867867,0.0005347688515523429,alternate_hands,R,ring,l,0.0,L,index,f,0.0,0.0,0.0,,False,0.0,cross_hand,True,False,"himself, itself, self, half, myself, herself, yourself, welfare, behalf, gulf, alfred, wolf"
247,nv,1466426243,0.0005200714830640574,alternate_hands,R,index,j,1.118,L,index,f,1.118,2.2361,1.118,,False,0.0,cross_hand,False,False,"involved, environment, investment, environmental, convention, conversation, investigation, involves, involving, conventional, involve, convinced"
248,je,1463052212,0.0005188748751102307,alternate_hands,R,index,j,0.0,L,middle,d,1.0308,1.0308,1.0308,,True,1.0,cross_hand,False,False,"subject, object, project, jesus, subjects, objects, jewish, jews, objective, projects, objectives, majesty"
249,nk,1455100124,0.0005160546485769444,same_hand_different_fingers,R,index,j,1.118,R,middle,k,0.0,1.118,1.118,,True,1.0,outward,False,False,"think, bank, thinking, banks, unknown, frank, drink, thank, rank, link, thanks, linked"
250,kn,1450401608,0.0005143883089325302,same_hand_different_fingers,R,middle,k,0.0,R,index,j,1.118,1.118,1.118,,True,1.0,inward,False,False,"know, known, knowledge, knew, knows, unknown, knowing, darkness, thickness, weakness, acknowledged, knife"
251,gs,1443474876,0.0005119317272931717,same_hand_different_fingers,L,index,f,1.0,L,ring,s,0.0,1.0,1.0,,False,0.0,outward,True,False,"things, feelings, buildings, proceedings, drugs, meetings, findings, legs, beings, writings, brings, kings"
252,dy,1421751251,0.0005042273930825643,alternate_hands,L,middle,d,0.0,R,index,j,1.6008,1.6008,1.6008,,True,1.0,cross_hand,False,False,"body, study, already, ready, lady, dynamic, steady, nobody, everybody, dying, studying, dynamics"
253,hy,1412343465,0.000500890899862585,same_finger_different_key,R,index,j,1.0,R,index,j,1.6008,2.6008,1.6008,1.0308,True,1.0,same_finger,False,False,"why, physical, philosophy, thy, hypothesis, physician, worthy, healthy, hydrogen, sympathy, physics, bibliography"
254,ze,1402290616,0.0004973256335470059,same_hand_different_fingers,L,pinky,a,1.118,L,middle,d,1.0308,2.1488,1.118,,True,2.0,inward,True,True,"size, recognized, citizens, organized, realized, recognize, zero, realize, characterized, citizen, dozen, seized"
255,ks,1339590722,0.0004750889700828898,alternate_hands,R,middle,k,0.0,L,ring,s,0.0,0.0,0.0,,False,0.0,cross_hand,True,False,"works, books, weeks, banks, looks, rocks, tasks, thanks, marks, remarks, attacks, jackson"
256,xt,1315669490,0.0004666052494304905,same_hand_different_fingers,L,ring,s,1.118,L,index,f,1.25,2.368,1.25,,True,2.0,inward,True,False,"next, text, extent, context, external, extended, extremely, extreme, extensive, extension, extra, mixture"
257,bs,1292319275,0.00045832404128730357,same_hand_different_fingers,L,index,f,1.8028,L,ring,s,0.0,1.8028,1.8028,,True,1.0,outward,True,False,"observed, absence, absolute, subsequent, substance, observations, observation, substantial, jobs, observe, absolutely, abstract"
258,ik,1209994695,0.0004291274372183285,same_finger_different_key,R,middle,k,1.0308,R,middle,k,0.0,1.0308,1.0308,1.0308,True,1.0,same_finger,False,False,"like, likely, unlike, strike, striking, likewise, liked, alike, unlikely, strikes, likelihood, mike"
259,dd,1205446875,0.00042751454226135495,same_key,L,middle,d,0.0,L,middle,d,0.0,0.0,0.0,,False,0.0,same_finger,False,False,"middle, addition, added, additional, add, address, suddenly, sudden, addressed, adding, hidden, odd"
260,cy,1176324279,0.0004171861457499762,alternate_hands,L,middle,d,1.118,R,index,j,1.6008,2.7188,1.6008,,True,2.0,cross_hand,False,False,"policy, frequency, agency, tendency, cycle, efficiency, democracy, accuracy, emergency, currency, pregnancy, mercy"
261,rp,1173542093,0.00041619943700407986,alternate_hands,L,index,f,1.0308,R,pinky,;,1.0308,2.0616,1.0308,,False,0.0,cross_hand,True,True,"purpose, purposes, corporation, interpretation, sharp, corporate, enterprise, surprise, surprised, corps, absorption, interpreted"
262,sk,1112771273,0.0003946469241277682,alternate_hands,L,ring,s,0.0,R,middle,k,0.0,0.0,0.0,,False,0.0,cross_hand,True,False,"asked, ask, risk, task, skin, skills, sky, skill, tasks, asking, desk, risks"
263,xi,1111463633,0.00039418316655567056,alternate_hands,L,ring,s,1.118,R,middle,k,1.0308,2.1488,1.118,,True,2.0,cross_hand,True,False,"existence, existing, exist, maximum, mexico, approximately, exists, anxiety, axis, existed, mexican, anxious"
264,oe,1089254517,0.00038630665183098036,alternate_hands,R,ring,l,1.0308,L,middle,d,1.0308,2.0616,1.0308,,False,0.0,cross_hand,True,False,"does, goes, poetry, poet, poem, poems, coefficient, joe, poets, shoes, negroes, coefficients"
265,oy,1020190223,0.00036181283908123666,same_hand_different_fingers,R,ring,l,1.0308,R,index,j,1.6008,2.6316,1.6008,,False,0.0,inward,True,False,"boy, employed, employment, royal, boys, employees, joy, destroyed, enjoy, employee, enjoyed, employer"
266,ws,989253674,0.00035084111991287353,same_finger_different_key,L,ring,s,1.0308,L,ring,s,0.0,1.0308,1.0308,1.0308,True,1.0,same_finger,True,False,"shows, laws, follows, news, views, knows, jews, windows, allows, newspaper, newspapers, flows"
267,lv,984229060,0.0003490591288531265,alternate_hands,R,ring,l,0.0,L,index,f,1.118,1.118,1.118,,True,1.0,cross_hand,True,False,"themselves, involved, silver, ourselves, twelve, involves, involving, involve, pennsylvania, involvement, resolved, solve"
268,dl,911886482,0.00032340266504614503,alternate_hands,L,middle,d,0.0,R,ring,l,0.0,0.0,0.0,,False,0.0,cross_hand,True,False,"middle, hardly, rapidly, handle, friendly, handling, undoubtedly, regardless, badly, repeatedly, handled, secondly"
269,rf,909634941,0.000322604150785616,same_finger_different_key,L,index,f,1.0308,L,index,f,0.0,1.0308,1.0308,1.0308,True,1.0,same_finger,False,False,"surface, performance, powerful, perfect, performed, perform, perfectly, wonderful, surfaces, interface, interference, performing"
270,eu,878402090,0.00031152734742272863,alternate_hands,L,middle,d,1.0308,R,index,j,1.0308,2.0616,1.0308,,False,0.0,cross_hand,False,False,"europe, european, museum, lieutenant, neutral, nucleus, freud, therapeutic, petroleum, europeans, eu, neural"
271,dg,874188188,0.0003100328772623043,same_hand_different_fingers,L,middle,d,0.0,L,index,f,1.0,1.0,1.0,,False,0.0,inward,False,False,"knowledge, judge, judgment, cambridge, edge, bridge, budget, judges, acknowledged, edges, ridge, acknowledge"
272,wr,867361010,0.00030761160268095306,same_hand_different_fingers,L,ring,s,1.0308,L,index,f,1.0308,2.0616,1.0308,,False,0.0,inward,True,False,"written, writing, wrote, write, wrong, writer, writers, writings, writes, lawrence, wright, wrapped"
273,xa,834649781,0.00029601048911654044,same_hand_different_fingers,L,ring,s,1.118,L,pinky,a,0.0,1.118,1.118,,True,1.0,outward,True,True,"example, examples, examination, exactly, examined, texas, examine, alexander, exact, taxation, examining, relaxation"
274,yi,812619095,0.00028819725500699606,same_hand_different_fingers,R,index,j,1.6008,R,middle,k,1.0308,2.6316,1.6008,,False,0.0,outward,False,False,"trying, saying, carrying, playing, yield, lying, underlying, varying, dying, paying, flying, applying"
275,nm,782441941,0.00027749485704436466,same_finger_different_key,R,index,j,1.118,R,index,j,1.118,2.2361,1.118,1.0,False,0.0,same_finger,False,False,"government, environment, environmental, governments, assignment, governmental, entertainment, environments, denmark, imprisonment, nm, enlightenment"
276,eb,763383542,0.0002707357514431997,same_hand_different_fingers,L,middle,d,1.0308,L,index,f,1.8028,2.8336,1.8028,,True,2.0,inward,False,False,"february, debt, web, thereby, debate, celebrated, hebrew, somebody, rebellion, whereby, debts, cerebral"
277,rb,753194669,0.00026712224389915793,same_finger_different_key,L,index,f,1.0308,L,index,f,1.8028,2.8336,1.8028,2.6575,True,2.0,same_finger,False,False,"urban, carbon, verbal, absorbed, nearby, arbitrary, verb, disturbed, herbert, harbor, marble, barbara"
278,tm,746621025,0.0002647908857415045,alternate_hands,L,index,f,1.25,R,index,j,1.118,2.368,1.25,,True,2.0,cross_hand,False,False,"treatment, department, investment, atmosphere, commitment, appointment, adjustment, departments, christmas, apartment, investments, utmost"
279,xc,746076293,0.000264597695268772,same_hand_different_fingers,L,ring,s,1.118,L,middle,d,1.118,2.2361,1.118,,False,0.0,inward,True,False,"except, exchange, excellent, exception, excess, excessive, excited, exclusive, exclusively, excitement, excluded, exceptions"
280,eh,742240059,0.00026323716594431096,alternate_hands,L,middle,d,1.0308,R,index,j,1.0,2.0308,1.0308,,True,1.0,cross_hand,False,False,"behind, behavior, household, behaviour, comprehensive, behalf, vehicle, somehow, behavioral, behaviors, vehicles, households"
281,tc,736955048,0.00026136282448192903,same_hand_different_fingers,L,index,f,1.25,L,middle,d,1.118,2.368,1.25,,True,2.0,outward,False,False,"watch, watched, dutch, kitchen, outcome, watching, catch, match, outcomes, switch, pitch, sketch"
282,gy,731420025,0.0002593998156813537,alternate_hands,L,index,f,1.0,R,index,j,1.6008,2.6008,1.6008,,True,1.0,cross_hand,False,False,"energy, technology, strategy, psychology, egypt, theology, ideology, clergy, egyptian, sociology, biology, analogy"
