rank,ngram,count,share,cumulative_share
237,gl,1709752272,0.0006063676260676287,0.9671766958810325
238,aw,1689436638,0.0005991626391450328,0.9677758585201776
239,ju,1655210582,0.0005870242886563383,0.9683628828088339
240,oa,1620913259,0.00057486066316008,0.9689377434719939
241,eq,1614312175,0.0005725195733425061,0.9695102630453365
242,sy,1602829285,0.000568447139655051,0.9700787101849915
243,sl,1575646777,0.0005588067998722335,0.9706375169848638
244,ps,1538723474,0.0005457118644518548,0.9711832288493156
245,jo,1516687319,0.0005378966907487205,0.9717211255400643
246,lf,1507867867,0.0005347688515523429,0.9722558943916166
247,nv,1466426243,0.0005200714830640574,0.9727759658746807
248,je,1463052212,0.0005188748751102307,0.9732948407497909
249,nk,1455100124,0.0005160546485769444,0.9738108953983678
250,kn,1450401608,0.0005143883089325302,0.9743252837073004
251,gs,1443474876,0.0005119317272931717,0.9748372154345936
252,dy,1421751251,0.0005042273930825643,0.9753414428276762
253,hy,1412343465,0.000500890899862585,0.9758423337275387
254,ze,1402290616,0.0004973256335470059,0.9763396593610858
255,ks,1339590722,0.0004750889700828898,0.9768147483311687
256,xt,1315669490,0.0004666052494304905,0.9772813535805991
257,bs,1292319275,0.00045832404128730357,0.9777396776218864
258,ik,1209994695,0.0004291274372183285,0.9781688050591048
259,dd,1205446875,0.00042751454226135495,0.9785963196013661
260,cy,1176324279,0.0004171861457499762,0.9790135057471161
261,rp,1173542093,0.00041619943700407986,0.9794297051841202
262,sk,1112771273,0.0003946469241277682,0.9798243521082479
263,xi,1111463633,0.00039418316655567056,0.9802185352748036
264,oe,1089254517,0.00038630665183098036,0.9806048419266346
265,oy,1020190223,0.00036181283908123666,0.9809666547657159
266,ws,989253674,0.00035084111991287353,0.9813174958856287
267,lv,984229060,0.0003490591288531265,0.9816665550144819
268,dl,911886482,0.00032340266504614503,0.981989957679528
269,rf,909634941,0.000322604150785616,0.9823125618303136
270,eu,878402090,0.00031152734742272863,0.9826240891777364
271,dg,874188188,0.0003100328772623043,0.9829341220549986
272,wr,867361010,0.00030761160268095306,0.9832417336576795
273,xa,834649781,0.00029601048911654044,0.9835377441467961
274,yi,812619095,0.00028819725500699606,0.9838259414018031
275,nm,782441941,0.00027749485704436466,0.9841034362588474
276,eb,763383542,0.0002707357514431997,0.9843741720102906
277,rb,753194669,0.00026712224389915793,0.9846412942541898
278,tm,746621025,0.0002647908857415045,0.9849060851399314
279,xc,746076293,0.000264597695268772,0.9851706828352002
280,eh,742240059,0.00026323716594431096,0.9854339200011444
281,tc,736955048,0.00026136282448192903,0.9856952828256264
282,gy,731420025,0.0002593998156813537,0.9859546826413077
283,ja,729206855,0.00025861490978535843,0.9862132975510931
284,hn,726288117,0.0002575797725545694,0.9864708773236476
285,yp,702499946,0.0002491432422957806,0.9867200205659434
286,za,702199296,0.00024903661607292787,0.9869690571820163
287,gg,697999944,0.00024754730610389725,0.9872166044881202
288,ym,667551857,0.00023674882112168774,0.9874533533092419
289,sw,663415953,0.00023528201313365683,0.9876886353223756
290,bj,654853039,0.00023224515573657463,0.9879208804781121
291,lm,649112313,0.00023020919388787198,0.988151089672
292,cs,643530723,0.00022822966999227055,0.9883793193419923
293,ii,642384029,0.00022782299229399052,0.9886071423342863
294,ix,621227893,0.0002203199193791771,0.9888274622536655
295,xe,614533122,0.00021794560324881292,0.9890454078569143
296,oh,602121281,0.00021354371492525182,0.9892589515718395
297,lk,555883002,0.00019714520156759115,0.9894560967734071
298,dv,537221821,0.00019052697025543044,0.9896466237436625
299,lp,536595562,0.00019030486604223394,0.9898369286097047
300,ax,531206960,0.0001883937857903907,0.9900253223954951
301,ox,523764012,0.0001857541269441267,0.9902110765224393
302,uf,522547858,0.00018532281509504224,0.9903963993375343
303,dm,512522701,0.00018176736981177067,0.9905781667073461
304,iu,490874936,0.0001740899395268762,0.9907522566468729
305,sf,483979931,0.00017164460994197454,0.990923901256815
306,bt,482272940,0.00017103922160745399,0.9910949404784224
307,ka,478095427,0.0001695576568906465,0.991264498135313
308,yt,470429861,0.00016683904605210232,0.9914313371813651
309,ek,464449289,0.00016471802226078754,0.9915960552036259
310,pm,449910017,0.0001595616355773069,0.9917556168392032
311,ya,444542870,0.00015765816439119228,0.9919132750035945
312,gt,434302509,0.0001540263965080112,0.9920673014001025
313,wl,429185823,0.00015221175189898594,0.9922195131520014
314,rh,426095630,0.00015111580775304897,0.9923706289597545
315,yl,416082307,0.00014756455942544424,0.9925181935191799
316,hs,414044112,0.00014684170882079659,0.9926650352280008
317,ah,384694919,0.0001364329491555188,0.9928014681771563
318,yc,380670476,0.00013500567107078203,0.992936473848227
319,yn,372595315,0.00013214179641135189,0.9930686156446384
320,rw,359714599,0.00012757362047681434,0.9931961892651152
321,hm,359316447,0.0001274324149425344,0.9933236216800577
322,lw,356374125,0.0001263889135912073,0.9934500105936489
323,hl,355049620,0.00012591917480757334,0.9935759297684565
324,ae,349540062,0.00012396519722856773,0.9936998949656851
325,zi,341671190,0.00012117448344352996,0.9938210694491286
326,az,334669428,0.00011869129223989193,0.9939397607413685
327,lc,333338045,0.00011821911415753592,0.994057979855526
328,py,331698156,0.00011763752370362693,0.9941756173792297
329,aj,331384552,0.00011752630331449835,0.9942931436825442
330,iq,318727904,0.00011303759361811866,0.9944061812761623
331,nj,312598990,0.00011086395999094682,0.9945170452361533
332,bb,308276690,0.00010933104622731352,0.9946263762823806
333,nh,306883963,0.00010883711235245899,0.994735213394733
334,uo,300484143,0.00010656740128132193,0.9948417807960144
335,kl,298033281,0.0001056981973638322,0.9949474789933782
336,lr,283411884,0.00010051268485779453,0.995047991678236
337,tn,282266629,0.0001001065175042166,0.9951480981957401
338,gm,277966576,9.858149369095683e-05,0.9952466796894311
339,sn,258702825,9.174955952463224e-05,0.9953384292489558
340,nr,258048421,9.151747362162302e-05,0.9954299467225773
341,fy,256535008,9.098073817573506e-05,0.9955209274607532
342,mn,247850339,8.790070008427924e-05,0.9956088281608374
343,dw,230152384,8.162407911681682e-05,0.9956904522399542
344,sb,223212317,7.916276818864494e-05,0.9957696150081429
345,yr,219696469,7.791586450541088e-05,0.9958475308726483
346,dn,213431654,7.569403327201283e-05,0.9959232249059203
347,sq,209894196,7.443946555193908e-05,0.9959976643714722
348,zo,202480511,7.181018489679211e-05,0.9960694745563691
349,oj,196696657,6.97589276024244e-05,0.9961392334839715
350,yd,192245315,6.818024879289267e-05,0.9962074137327643
351,lb,188643782,6.690295672480866e-05,0.9962743166894892
352,wt,184446342,6.541432485103197e-05,0.9963397310143401
353,lg,171657388,6.087869252355049e-05,0.9964006097068637
354,ko,171324962,6.0760796868276776e-05,0.996461370503732
355,np,170186564,6.035706136572198e-05,0.9965217275650977
356,sr,168896339,5.989948006394196e-05,0.9965816270451616
357,nq,167770304,5.9500129128136294e-05,0.9966411271742898
358,ky,167761726,5.949708692045417e-05,0.9967006242612103
359,ln,165509578,5.8698357385961136e-05,0.9967593226185962
360,nw,163456000,5.797005116452936e-05,0.9968172926697607
361,tf,159626603,5.661194659804483e-05,0.9968739046163588
362,fs,155349948,5.509522093998982e-05,0.9969289998372988
