# provisional=true — until learner error/hesitation data exists (DEC-16)
# word_floor_subtlex_freqcount=250
# word_floor_subtlex_cdcount=100
# word_lower_ratio=0.5
# excluded_words=39
# word_floor_per_million=5.0
# source=Google Books word list ∩ SUBTLEX-US
# order=SUBTLEX-US frequency desc, then word
word,subtlex_freqcount,subtlex_cdcount,provisional
party,11890,3724,True
set,11805,5185,True
cut,11718,4940,True
comes,11656,5304,True
sleep,11625,4661,True
shot,11599,4236,True
anybody,11573,4863,True
ass,11545,3379,True
stand,11536,4917,True
water,11478,4127,True
boys,11432,3747,True
trouble,11401,4785,True
dear,11395,3448,True
couple,11394,4989,True
gets,11364,5311,True
making,11349,5422,True
eyes,11299,4766,True
break,11275,5023,True
story,11260,4265,True
far,11259,5187,True
times,11221,5170,True
close,11191,5181,True
means,11136,5250,True
funny,11127,4659,True
goes,11081,5163,True
lady,11071,4129,True
death,11051,4278,True
asked,11029,5102,True
walk,11009,4848,True
fire,10990,3948,True
hours,10959,4859,True
hate,10944,4752,True
gun,10873,2976,True
rest,10861,5142,True
person,10857,4712,True
inside,10775,4811,True
waiting,10767,4980,True
different,10686,4860,True
girls,10626,3635,True
least,10596,5406,True
important,10587,4878,True
also,10528,4765,True
line,10515,4539,True
yours,10441,5069,True
office,10399,3975,True
dinner,10336,3958,True
quite,10332,4287,True
against,10288,4528,True
fight,10255,3703,True
side,10247,4725,True
six,10176,4351,True
half,10156,4685,True
pick,10118,4726,True
question,10116,4587,True
ahead,10115,4726,True
cool,9990,3670,True
women,9978,3827,True
body,9972,3961,True
high,9945,4450,True
husband,9935,3377,True
reason,9858,4828,True
almost,9857,4950,True
dog,9835,3049,True
buy,9814,4286,True
truth,9801,4193,True
met,9758,4456,True
telling,9730,4837,True
hot,9682,4209,True
anymore,9597,4514,True
behind,9581,4729,True
started,9566,4727,True
speak,9546,4289,True
bed,9543,4113,True
moment,9539,4391,True
tried,9529,4867,True
blood,9492,3526,True
ma,9476,2738,True
shall,9441,3061,True
stupid,9405,4276,True
along,9330,4314,True
either,9308,4986,True
though,9279,4620,True
front,9259,4589,True
sister,9207,3046,True
send,9169,4250,True
