bigram,bigram_rank,word_rank,word,word_count
ns,55,7,instead,118485329
ns,55,8,persons,116745553
ns,55,9,relationship,115960669
ns,55,10,relations,112325996
ns,55,11,answer,109738829
ns,55,12,response,103816451
di,56,1,did,689814257
di,56,2,different,381761001
di,56,3,individual,199046341
di,56,4,conditions,182610089
di,56,5,according,178815411
di,56,6,studies,159772512
di,56,7,including,153800374
di,56,8,difficult,130577321
di,56,9,building,125844801
di,56,10,condition,115246769
di,56,11,addition,115111424
di,56,12,direct,114945752
fo,57,1,for,6545282031
fo,57,2,before,605166565
fo,57,3,found,436617767
fo,57,4,form,352032932
fo,57,5,information,285127664
fo,57,6,following,282890287
fo,57,7,four,262968583
fo,57,8,therefore,256680119
fo,57,9,force,179566043
fo,57,10,foreign,155858655
fo,57,11,food,144138399
fo,57,12,forms,136468034
ho,58,1,who,1464601967
ho,58,2,should,814245936
ho,58,3,those,691668501
ho,58,4,how,630072115
ho,58,5,however,519207264
ho,58,6,without,465581954
ho,58,7,house,316642686
ho,58,8,though,315756488
ho,58,9,thought,292090261
ho,58,10,school,286198020
ho,58,11,although,269984217
ho,58,12,whole,264397495
pe,59,1,people,658716166
pe,59,2,per,300402417
pe,59,3,period,240810310
pe,59,4,person,232353232
pe,59,5,type,200474855
pe,59,6,perhaps,192537809
pe,59,7,open,184266698
pe,59,8,experience,182659383
pe,59,9,special,172749212
pe,59,10,especially,171145125
pe,59,11,personal,146111561
pe,59,12,property,142167084
ec,60,1,because,612321946
ec,60,2,second,316484908
ec,60,3,become,247467268
ec,60,4,effect,227026494
ec,60,5,economic,216707350
ec,60,6,necessary,208018922
ec,60,7,subject,207720288
ec,60,8,section,202298684
ec,60,9,became,192781007
ec,60,10,special,172749212
ec,60,11,especially,171145125
ec,60,12,specific,141363074
pr,61,1,present,313754008
pr,61,2,process,261231720
pr,61,3,press,211628967
pr,61,4,problem,207066989
pr,61,5,problems,182033209
pr,61,6,production,165669185
pr,61,7,probably,154301146
pr,61,8,program,144947729
pr,61,9,president,143231208
pr,61,10,property,142167084
pr,61,11,provide,141554873
pr,61,12,practice,140702777
no,62,1,not,4522732626
no,62,2,no,1400645478
no,62,3,now,679337516
no,62,4,another,444695376
no,62,5,know,405542218
no,62,6,known,242748318
no,62,7,nothing,224710005
no,62,8,economic,216707350
no,62,9,enough,188948038
no,62,10,knowledge,185412728
no,62,11,north,178650422
no,62,12,nor,173428887
ct,63,1,fact,303323018
ct,63,2,act,252837316
ct,63,3,effect,227026494
ct,63,4,action,212759202
ct,63,5,subject,207720288
ct,63,6,section,202298684
ct,63,7,production,165669185
ct,63,8,structure,150602123
ct,63,9,function,147417217
ct,63,10,character,143305637
ct,63,11,practice,140702777
ct,63,12,effects,137897766
us,64,1,must,662994536
us,64,2,because,612321946
us,64,3,use,535798133
us,64,4,used,524065144
us,64,5,us,516975345
us,64,6,just,454162727
us,64,7,thus,352803269
us,64,8,house,316642686
us,64,9,business,228894757
us,64,10,using,201536862
us,64,11,various,197327756
us,64,12,usually,178737795
ac,65,1,each,601281917
ac,65,2,back,406548203
ac,65,3,place,401396238
ac,65,4,fact,303323018
ac,65,5,act,252837316
ac,65,6,action,212759202
ac,65,7,face,184744335
ac,65,8,black,181542099
ac,65,9,according,178815411
ac,65,10,account,162780963
ac,65,11,surface,145677703
ac,65,12,character,143305637
ot,66,1,not,4522732626
ot,66,2,other,1383185827
ot,66,3,both,543776931
ot,66,4,another,444695376
ot,66,5,others,280160469
ot,66,6,nothing,224710005
ot,66,7,total,194645191
ot,66,8,mother,186371465
ot,66,9,got,162985190
ot,66,10,note,145170586
ot,66,11,wrote,101295092
ot,66,12,potential,91052860
il,67,1,will,1485140664
il,67,2,while,483440546
il,67,3,still,408263128
il,67,4,children,336723802
il,67,5,family,275638251
il,67,6,until,266946065
il,67,7,child,214513506
il,67,8,similar,168686666
il,67,9,available,150037688
il,67,10,building,125844801
il,67,11,military,124721452
il,67,12,william,115262883
tr,68,1,country,287858905
tr,68,2,control,254704442
tr,68,3,true,209902030
tr,68,4,trade,157534593
tr,68,5,structure,150602123
tr,68,6,treatment,144883050
tr,68,7,central,143504901
tr,68,8,countries,140381058
tr,68,9,strong,138949457
tr,68,10,truth,118722538
tr,68,11,industry,114733976
tr,68,12,street,110013571
ly,69,1,only,1135235700
ly,69,2,family,275638251
ly,69,3,early,262989441
ly,69,4,usually,178737795
ly,69,5,analysis,172535798
ly,69,6,especially,171145125
ly,69,7,probably,154301146
ly,69,8,really,147420684
ly,69,9,generally,139841620
ly,69,10,finally,124762454
ly,69,11,particularly,121435155
